Company,"Cocoa
Percent",Rating,,
Bonnat,75%,3.25,,
Bonnat,75%,3,,
Bonnat,75%,2.75,,
Bonnat,75%,3,,
Bonnat,75%,3,,
Bonnat,75%,4,,
Bonnat,75%,2.5,,
Bonnat,75%,3.75,,
Bonnat,75%,4,,
Bonnat,75%,4,,
Bonnat,75%,4,,
Bonnat,100%,1.5,,
Bonnat,75%,3,,
Bonnat,75%,4,,
Bouga Cacao (Tulicorp),77%,3.25,,
Bouga Cacao (Tulicorp),100%,1.5,,
Bowler Man,70%,2.75,,
Bowler Man,70%,2.75,,
Brasstown aka It's Chocolate,70%,3.5,,
Brasstown aka It's Chocolate,70%,3.75,,
Brasstown aka It's Chocolate,68%,3.75,,
Brasstown aka It's Chocolate,70%,3.75,,
Brasstown aka It's Chocolate,70%,4,,
Brasstown aka It's Chocolate,72%,3,,
Brasstown aka It's Chocolate,70%,3.25,,
Brasstown aka It's Chocolate,75%,3.5,,
Brasstown aka It's Chocolate,85%,3.5,,
Brazen,60%,3,,
Brazen,80%,3.25,,
Brazen,70%,3.5,,
Brazen,80%,2.75,,
Brazen,80%,3.25,,
Brazen,60%,3.25,,
Breeze Mill,70%,3,,
Bright,72%,3,,
Bright,70%,3.5,,
Bright,72%,3.5,,
Bright,68%,2.75,,
Britarev,70%,3.25,,
Bronx Grrl Chocolate,68%,2.75,,
Burnt Fork Bend,72%,3.25,,
Burnt Fork Bend,72%,3.5,,
Burnt Fork Bend,72%,3.25,,
Burnt Fork Bend,72%,3.25,,
Burnt Fork Bend,60%,2.5,,
Cacao Arabuco,70%,2.5,,
Cacao Atlanta,75%,2.5,,
Cacao Atlanta,75%,2.5,,
Cacao Atlanta,75%,2.75,,
Cacao Atlanta,75%,2.25,,
Cacao Barry,65%,3.5,,
Cacao Barry,70%,3,,
Cacao Barry,75%,2,,
Cacao Barry,72%,2,,
Cacao Barry,66%,3,,
Cacao de Origen,77%,3.5,,
Cacao de Origen,75%,3.25,,
Cacao de Origen,74.00%,2.5,Venezuela,
Cacao de Origen,74.00%,3.0, ,Venezuela
Cacao de Origen,75%,3.5,,
Cacao de Origen,70%,3.75,,
Cacao de Origin,74%,3.25,,
Cacao Hunters,71%,3.75,,
Cacao Hunters,74%,3.75,,
Cacao Hunters,72%,3.75,,
Cacao Hunters,64%,3.5,,
Cacao Hunters,70%,3.5,,
Cacao Hunters,69%,2.75,,
Cacao Hunters,70%,3.25,,
Cacao Market,70%,3.5,,
Cacao Prieto,72%,3.75,,
Cacao Prieto,72%,3,,
Cacao Prieto,66%,3.75,,
Cacao Prieto,65%,3.25,,
Cacao Sampaka,70%,3.5,,
Cacao Sampaka,71%,3.5,,
Cacao Sampaka,71%,3.75,,
Cacao Sampaka,71%,4,,
Cacao Sampaka,71%,3.25,,
Cacao Sampaka,71%,3.5,,
Cacao Sampaka,77%,3.5,,
Cacao Sampaka,70%,4,,
Cacao Sampaka,70%,4,,
Cacao Store,70%,3,,
Cacao Store,70%,3.25,,
Cacao Store,70%,3.5,,
Cacaosuyo (Theobroma Inversiones),70%,3.25,,
Cacaoyere (Ecuatoriana),63%,3.5,,
Cacaoyere (Ecuatoriana),71%,3.5,,
Cacaoyere (Ecuatoriana),82%,2.5,,
Cacaoyere (Ecuatoriana),91%,1.5,,
Callebaut,60%,2.75,,
Callebaut,70%,1,,
C-Amaro,75%,2.5,,
C-Amaro,72%,3,,
C-Amaro,70%,3.5,,
C-Amaro,100%,3.5,,
C-Amaro,80%,3,,
C-Amaro,78%,2.25,,
C-Amaro,70%,2.5,,
Cao,75%,2.5,,
Cao,73%,2.75,,
Cao,70%,3,,
Cao,75%,3,,
Cao,70%,3.25,,
Caoni (Tulicorp),77%,2,,
Caoni (Tulicorp),77%,2.5,,
Caoni (Tulicorp),77%,2.75,,
Caoni (Tulicorp),55%,3,,
Caoni (Tulicorp),55%,3.25,,
Caoni (Tulicorp),55%,3.5,,
Captain Pembleton,70%,3.5,,
Captain Pembleton,70%,3.75,,
Caribeans,72%,3.5,,
Caribeans,72%,3.25,,
Caribeans,72%,3.5,,
Caribeans,72%,3,,
Caribeans,80%,2.75,,
Carlotta Chocolat,65%,3,,
Carlotta Chocolat,65%,3.25,,
Carlotta Chocolat,65%,3.25,,
Carlotta Chocolat,65%,3.5,,
Carlotta Chocolat,65%,3.5,,
Castronovo,72%,4,,
Castronovo,72%,3.5,,
Castronovo,70%,3.75,,
Castronovo,72%,3.5,,
Castronovo,72%,3.5,,
Castronovo,76%,3.5,,
Castronovo,70%,2.75,,
Castronovo,70%,3,,
Castronovo,73%,3.5,,
Castronovo,70%,2.5,,
Castronovo,70%,3.25,,
Castronovo,72%,3.25,,
Castronovo,70%,2.75,,
Castronovo,72%,3,,
Cello,70%,2.5,,
Cello,70%,2.75,,
Cello,70%,2.75,,
Cello,70%,3,,
Cemoi,72%,2.75,,
Chaleur B,70%,2.75,,
Charm School,70%,3.25,,
Chchukululu (Tulicorp),55%,2.75,,
Chchukululu (Tulicorp),75%,3,,
Chequessett,70%,3.5,,
Chloe Chocolat,70%,3.5,,
Chocablog,70%,3.25,,
Choco Del Sol,75%,3,,
Choco Del Sol,82%,3.25,,
Choco Dong,70%,2.75,,
Choco Dong,70%,3.5,,
Chocolarder,65%,2.5,,
Chocolarder,65%,2.75,,
Chocolarder,80%,2.5,,
Chocola'te,70%,3.75,,
Chocola'te,68%,3.75,,
Chocolate Alchemist-Philly,90%,2.5,,
Chocolate Alchemist-Philly,80%,2.5,,
Chocolate Con Amor,70%,2.5,,
Chocolate Con Amor,70%,2.75,,
Chocolate Con Amor,60%,3,,
Chocolate Con Amor,75%,3,,
Chocolate Con Amor,80%,3,,
Chocolate Con Amor,70%,3.25,,
Chocolate Con Amor,80%,2.75,,
Chocolate Conspiracy,74%,2.75,,
Chocolate Makers,75%,3.25,,
Chocolate Makers,68%,3.5,,
Chocolate Makers,80%,3.75,,
"Chocolate Tree, The",69%,3.75,,
"Chocolate Tree, The",80%,3.75,,
"Chocolate Tree, The",70%,3.75,,
"Chocolate Tree, The",82%,2.5,,
"Chocolate Tree, The",68%,2.75,,
"Chocolate Tree, The",72%,3.25,,
Chocolats Privilege,70%,2.5,,
ChocoReko,77%,3,,
Chocosol,65%,3.25,,
Chocovic,71%,3.25,,
Chocovic,71%,3.5,,
Chocovic,60%,3.25,,
Chocovic,75%,3.25,,
Chocovic,71%,3.5,,
Chocovic,71%,2.5,,
Chocovic,71%,2.5,,
Chocovic,70%,3,,
Chocovivo,65%,2.5,,
Chocovivo,75%,2.5,,
Choklat,80%,2.5,,
Choklat,70%,2.75,,
Choklat,70%,3,,
Choklat,80%,3,,
Choklat,70%,3,,
Chokolat Elot (Girard),42%,2.75,,
Choocsol,75%,3.25,,
Christopher Morel (Felchlin),68%,3.75,,
Chuao Chocolatier,61%,3,,
Chuao Chocolatier (Pralus),77%,2.75,,
Claudio Corallo,73.5%,3.75,,
Claudio Corallo,80%,3,,
Claudio Corallo,75%,4,,
Claudio Corallo,100%,1,,
Cloudforest,73%,3.5,,
Coleman & Davis,75%,3,,
Compania de Chocolate (Salgado),70%,3.25,,
Compania de Chocolate (Salgado),80%,2.75,,
Compania de Chocolate (Salgado),72%,3.25,,
Compania de Chocolate (Salgado),70%,3.75,,
Compania de Chocolate (Salgado),88%,2.75,,
Condor,76%,3.5,,
Confluence,78%,2.75,,
Coppeneur,65%,3.25,,
Coppeneur,85%,3.5,,
Coppeneur,100%,1.5,,
Coppeneur,72%,3.75,,
Coppeneur,70%,3.5,,
Coppeneur,72%,3.25,,
Coppeneur,70%,3,,
Coppeneur,72%,2.5,,
Coppeneur,72%,3,,
Coppeneur,72%,3.25,,
Coppeneur,72%,3.25,,
Coppeneur,72%,3,,
Coppeneur,62%,3.25,,
Coppeneur,70%,3.5,,
Coppeneur,70%,3.75,,
Coppeneur,72%,3,,
Coppeneur,72%,3,,
Coppeneur,72%,3,,
Cote d' Or (Kraft),70%,1,,
Cravve,70%,2.5,,
Cravve,83%,2.75,,
Cravve,75%,3.25,,
Cravve,65%,3.25,,
Cravve,67%,3.25,,
Cravve,64%,3.25,,
Cravve,75%,3.5,,
Creo,85%,3.25,,
Creo,73%,3.75,,
Daintree,70%,2.75,,
Daintree,70%,3.25,,
Dalloway,72%,2.75,,
Damson,70%,3,,
Damson,70%,3.5,,
Damson,70%,2.25,,
Damson,70%,2.75,,
Dandelion,70%,3.75,,
Dandelion,70%,3,,
Dandelion,70%,3.5,,
Dandelion,70%,3.5,,
Dandelion,70%,2.75,,
Dandelion,70%,3.75,,
Dandelion,70%,2.75,,
Dandelion,70%,3.25,,
Dandelion,70%,3.5,,
Dandelion,70%,3.5,,
Dandelion,70%,3,,
Dandelion,70%,3.25,,
Dandelion,70%,3.75,,
Dandelion,70%,3.25,,
Dandelion,70%,3.25,,
Dandelion,70%,3.25,,
Danta,82%,3.25,,
Danta,75%,3,,
Danta,70%,3.75,,
Danta,70%,3.75,,
Danta,70%,4,,
Danta,70%,3.25,,
Danta,60%,3.5,,
Danta,75%,3,,
Danta,60%,3.25,,
DAR,72%,2.75,,
DAR,72%,3,,
DAR,70%,3.25,,
Dark Forest,75%,3.25,,
Dark Forest,70%,3,,
Dark Forest,70%,3.25,,
Dark Forest,70%,3,,
Dark Forest,70%,3.25,,
Davis,70%,2.5,,
Davis,70%,2.75,,
Davis,70%,2.75,,
Davis,58%,3.25,,
De Mendes,72%,3.5,,
De Mendes,65%,3.5,,
De Villiers,70%,2.5,,
De Villiers,70%,3,,
Dean and Deluca (Belcolade),66%,2.5,,
Dean and Deluca (Belcolade),64%,3,,
Dean and Deluca (Belcolade),71%,3,,
Dean and Deluca (Belcolade),60%,3,,
Dean and Deluca (Belcolade),64%,3,,
Dean and Deluca (Belcolade),64%,3,,
Debauve & Gallais (Michel Cluizel),64%,3,,
Debauve & Gallais (Michel Cluizel),66%,3.75,,
Desbarres,72%,2.5,,
DeVries,80%,2.75,,
DeVries,77%,3.5,,
DeVries,77%,3.5,,
Dick Taylor,70%,3.75,,
Dick Taylor,78%,3.5,,
Dick Taylor,70%,3.75,,
Dick Taylor,74%,3.5,,
Dick Taylor,70%,3.25,,
Dick Taylor,76%,3.5,,
Dick Taylor,75%,2.75,,
Dick Taylor,72%,2.75,,
Dick Taylor,80%,2.75,,
Dick Taylor,72%,3,,
Dick Taylor,75%,2.75,,
Dick Taylor,74%,3,,
Dick Taylor,70%,3.25,,
Doble & Bignall,85%,3,,
Doble & Bignall,72%,3.25,,
Doble & Bignall,72%,3.25,,
Doble & Bignall,72%,3.5,,
Dole (Guittard),70%,3.75,,
Dolfin (Belcolade),88%,3,,
Dolfin (Belcolade),70%,1.5,,
Domori,70%,3.75,,
Domori,70%,3.75,,
Domori,100%,3,,
Domori,70%,3.5,,
Domori,70%,3.75,,
Domori,70%,3.5,,
Domori,70%,3,,
Domori,70%,3,,
Domori,70%,3,,
Domori,78%,3.5,,
Domori,70%,3.75,,
Domori,70%,4,,
Domori,75%,3.25,,
Domori,60%,3.25,,
Domori,70%,3.5,,
Domori,70%,3.5,,
Domori,70%,3.75,,
Domori,70%,4,,
Domori,70%,4,,
Domori,70%,3,,
Domori,70%,3.25,,
Domori,70%,3.5,,
Dormouse,75%,2.75,,
Dormouse,70%,2.5,,
Dormouse,80%,2.75,,
Dormouse,77%,2.75,,
Duffy's,70%,4,,
Duffy's,70%,3.5,,
Duffy's,76%,3.75,,
Duffy's,72%,3.75,,
Duffy's,72%,3.75,,
Duffy's,65%,3.5,,
Duffy's,72%,3,,
Duffy's,71%,3.25,,
Duffy's,71%,3.5,,
Duffy's,70%,3.5,,
Duffy's,72%,3.75,,
Duffy's,70%,2.5,,
Duffy's,70%,3.75,,
Dulcinea,70%,3.25,,
Durand,82%,2.75,,
Durci,70%,3.5,,
Durci,70%,3.5,,
Durci,70%,3.25,,
Durci,70%,3.25,,
Durci,70%,4,,
East Van Roasters,70%,3.25,,
East Van Roasters,70%,3.5,,
East Van Roasters,70%,3.75,,
Eau de Rose,70%,3.25,,
Eau de Rose,70%,3.25,,
Eclat (Felchlin),72%,2.75,,
Edelmond,68%,3,,
El Ceibo,75%,3.75,,
El Ceibo,71%,2.75,,
El Rey,70%,3.75,,
El Rey,60.5%,2.75,,
El Rey,70%,3,,
El Rey,74%,2.5,,
El Rey,58%,2.5,,
El Rey,61%,3,,
El Rey,70%,2.75,,
Emerald Estate,60%,2.75,,
Emerald Estate,70%,3.25,,
Emily's,79%,3,,
Emily's,78%,3.5,,
ENNA,75%,3.25,,
Enric Rovira (Claudio Corallo),80%,3.25,,
Erithaj (A. Morin),70%,3.25,,
Erithaj (A. Morin),80%,3,,
Erithaj (A. Morin),74%,3.25,,
Escazu,70%,2.75,,
Escazu,65%,2,,
Escazu,81%,3.5,,
Escazu,74%,2.75,,
Escazu,72%,3,,
Ethel's Artisan (Mars),55%,2.5,,
Ethel's Artisan (Mars),55%,2.5,,
Ethel's Artisan (Mars),70%,2.5,,
Ethel's Artisan (Mars),62%,2.75,,
Ethel's Artisan (Mars),62%,2.5,,
Ethereal,80%,3,,
Ethereal,80%,3.5,,
Ethereal,80%,3.75,,
Fearless (AMMA),75%,2.75,,
Feitoria Cacao,76%,3,,
Feitoria Cacao,76%,2.5,,
Feitoria Cacao,76%,2.75,,
Felchlin,58%,3.5,,
Felchlin,62%,2,,
Felchlin,74%,3,,
Felchlin,64%,3,,
Felchlin,65%,3,,
Felchlin,72%,3.5,,
Felchlin,68%,4,,
Finca,65%,2.25,,
Finca,80%,3,,
Finca,70%,3.25,,
Finca,85%,2.5,,
Forever Cacao,72%,2.75,,
Forteza (Cortes),70%,2.75,,
Forteza (Cortes),80%,2.75,,
Fossa,70%,2.75,,
Fossa,75%,3.5,,
Fossa,67%,3.75,,
Franceschi,70%,3.5,,
Franceschi,70%,3.75,,
Franceschi,70%,3.75,,
Franceschi,60%,3.5,,
Frederic Blondeel,70%,3.5,,
Frederic Blondeel,75%,3.5,,
Frederic Blondeel,80%,3,,
Frederic Blondeel,60%,3.5,,
Frederic Blondeel,65%,3.5,,
French Broad,70%,3.5,,
French Broad,73%,3.5,,
French Broad,80%,3,,
French Broad,68%,3.25,,
French Broad,66%,3.5,,
French Broad,70%,2.5,,
French Broad,61%,3.5,,
French Broad,81%,2,,
French Broad,70%,3.5,,
French Broad,65%,3.5,,
Fresco,70%,3,,
Fresco,70%,3.5,,
Fresco,70%,3.5,,
Fresco,70%,3.5,,
Fresco,72%,3.25,,
Fresco,72%,3.75,,
Fresco,70%,3.75,,
Fresco,70%,4,,
Fresco,69%,3.5,,
Fresco,69%,3.5,,
Fresco,74%,4,,
Fresco,69%,4,,
Fresco,69%,3,,
Fresco,74%,2.75,,
Fresco,70%,3.25,,
Fresco,72%,3.5,,
Fresco,70%,3.5,,
Fresco,74%,2.75,,
Fresco,72%,3.25,,
Fresco,74%,3,,
Fresco,76%,3.25,,
Fresco,70%,4,,
Fresco,80%,2.75,,
Fresco,70%,3,,
Fresco,70%,3.25,,
Fresco,65%,3.5,,
Friis Holm,70%,3.5,,
Friis Holm (Bonnat),60%,3,,
Friis Holm (Bonnat),85%,3.25,,
Friis Holm (Bonnat),70%,3.5,,
Friis Holm (Bonnat),70%,3.25,,
Friis Holm (Bonnat),70%,3.5,,
Friis Holm (Bonnat),70%,3.25,,
Friis Holm (Bonnat),70%,3.25,,
Friis Holm (Bonnat),70%,3.25,,
Friis Holm (Bonnat),70%,3.75,,
Friis Holm (Bonnat),70%,3.25,,
Friis Holm (Bonnat),70%,3.5,,
Friis Holm (Bonnat),70%,3.5,,
Fruition,74%,3.75,,
Fruition,74%,4,,
Fruition,70%,3.75,,
Fruition,76%,3,,
Fruition,70%,3.75,,
Fruition,75%,3,,
Fruition,70%,2.5,,
Fruition,66%,3.25,,
Fruition,70%,3,,
Garden Island,85%,2.5,,
Georgia Ramon,65%,3.25,,
Georgia Ramon,70%,4,,
Georgia Ramon,70%,3.5,,
Georgia Ramon,80%,3.5,,
Georgia Ramon,75%,3.5,,
Glennmade,70%,3.5,,
Glennmade,66%,3,,
Goodnow Farms,77%,2.75,,
Goodnow Farms,77%,3.25,,
Goodnow Farms,77%,3.25,,
Grand Place,72%,3,,
Green & Black's (ICAM),70%,2.5,,
Green Bean to Bar,70%,3.5,,
Grenada Chocolate Co.,82%,3.25,,
Grenada Chocolate Co.,60%,2.75,,
Grenada Chocolate Co.,71%,2.5,,
Guido Castagna,64%,3,,
Guido Castagna,64%,3,,
Guido Castagna,64%,3,,
Guido Castagna,76%,3,,
Guido Castagna,64%,3.25,,
Guittard,70%,3.75,,
Guittard,65%,2.75,,
Guittard,65%,2.75,,
Guittard,65%,3.25,,
Guittard,65%,3.5,,
Guittard,72%,2.75,,
Guittard,61%,3.25,,
Guittard,72%,3.25,,
Guittard,65%,3,,
Guittard,55%,3,,
Guittard,91%,3,,
Guittard,70%,3.5,,
Guittard,65%,3,,
Guittard,64%,3,,
Guittard,65%,3.5,,
Guittard,72%,3.5,,
Guittard,65%,3,,
Guittard,65%,2.5,,
Guittard,65%,3.5,,
Guittard,65%,3.5,,
Guittard,61%,3.5,,
Guittard,61%,3,,
Habitual,80%,2.75,,
Habitual,74%,2.75,,
Habitual,75%,3.25,,
Habitual,70%,3.5,,
Habitual,65%,2.75,,
Habitual,70%,3,,
Habitual,80%,3,,
Habitual,66%,3.25,,
Habitual,100%,2,,
Hachez,77%,2.5,,
Hacienda El Castillo,55%,2.75,,
Hacienda El Castillo,70%,3,,
Haigh,70%,3,,
Harper Macaw,85%,3.25,,
Harper Macaw,67%,3,,
Harper Macaw,77%,3.5,,
Harper Macaw,74%,3.5,,
Heilemann,64%,2.75,,
Heirloom Cacao Preservation (Brasstown),70%,3.25,,
Heirloom Cacao Preservation (Fruition),74%,3.5,,
Heirloom Cacao Preservation (Guittard),67%,3.5,,
Heirloom Cacao Preservation (Guittard),67%,3,,
Heirloom Cacao Preservation (Guittard),67%,3.75,,
Heirloom Cacao Preservation (Guittard),67%,3.75,,
Heirloom Cacao Preservation (Manoa),72%,3.5,,
Heirloom Cacao Preservation (Millcreek),70%,3.5,,
Heirloom Cacao Preservation (Mindo),77%,3.5,,
Heirloom Cacao Preservation (Zokoko),68%,3.75,,
Heirloom Cacao Preservation (Zokoko),72%,4,,
hello cocoa,57%,2.75,,
hello cocoa,74%,3.5,,
hexx,70%,2.75,,
hexx,74%,3,,
hexx,70%,3,,
hexx,73%,3.25,,
hexx,70%,3.25,,
Hogarth,70%,2.75,,
Hogarth,72%,2.75,,
Hogarth,75%,3.25,,
Hogarth,66%,3.5,,
Hoja Verde (Tulicorp),80%,2,,
Hoja Verde (Tulicorp),80%,2.5,,
Hoja Verde (Tulicorp),72%,3,,
Hoja Verde (Tulicorp),58%,3.25,,
Hoja Verde (Tulicorp),58%,3.5,,
Holy Cacao,70%,2.75,,
Holy Cacao,70%,3.5,,
Holy Cacao,70%,3.5,,
Holy Cacao,70%,3.5,,
Holy Cacao,70%,3.5,,
Holy Cacao,70%,2.5,,
Holy Cacao,70%,2.75,,
Holy Cacao,70%,3.5,,
Holy Cacao,75%,3.75,,
Honest,72%,2.5,,
Hotel Chocolat,70%,2.75,,
Hotel Chocolat,70%,4,,
Hotel Chocolat,100%,1.75,,
Hotel Chocolat (Coppeneur),75%,3,,
Hotel Chocolat (Coppeneur),80%,3.5,,
Hotel Chocolat (Coppeneur),90%,3,,
Hotel Chocolat (Coppeneur),72%,3,,
Hotel Chocolat (Coppeneur),82%,3.5,,
Hotel Chocolat (Coppeneur),100%,2.75,,
Hotel Chocolat (Coppeneur),100%,2.5,,
Hotel Chocolat (Coppeneur),100%,2.75,,
Hotel Chocolat (Coppeneur),66%,3.5,,
Hotel Chocolat (Coppeneur),80%,3,,
Hotel Chocolat (Coppeneur),65%,3,,
Hotel Chocolat (Coppeneur),65%,3.25,,
Hotel Chocolat (Coppeneur),70%,2.75,,
Hotel Chocolat (Coppeneur),70%,3,,
Hotel Chocolat (Coppeneur),70%,2.75,,
Hotel Chocolat (Coppeneur),72%,3,,
Hotel Chocolat (Coppeneur),80%,2.5,,
Hotel Chocolat (Coppeneur),75%,2.75,,
Hotel Chocolat (Coppeneur),72%,3,,
Hummingbird,70%,3.5,,
Hummingbird,70%,3,,
Hummingbird,70%,3,,
Hummingbird,70%,3,,
Hummingbird,70%,3.75,,
Hummingbird,70%,3.5,,
